time,turbine_num,wind_speed,kw,wind_speed_sd,wind_speed_max,torque_actual_value,blade_1_actual_angle,blade_2_actual_angle,blade_3_actual_angle,blade_1_2_act_angle_diff,blade_2_3_act_angle_diff,blade_3_1_act_angle_diff,ot,sot,dt,lot,wot,est,mt,rt,eect
2015-12-24 11:00:00,21,0.2800519818063678,0.41076858842768166,0.19298245614035087,0.2432935916542474,0.47537805350911205,0.44993024807424026,0.45289404270143835,0.01345054013980089,0.002188226814014412,0.009015380229028192,0.0069714565872966185,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 11:10:00,21,0.30669265756985065,0.5142166243345743,0.1557017543859649,0.23267511177347244,0.5570957735556418,0.4519318250743009,0.45423779425670635,0.016521923321330227,0.0016630529359053826,0.008840328880234841,0.007328961228083825,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 11:20:00,21,0.22774528914879796,0.2299398072440068,0.10964912280701754,0.16374813710879285,0.3252229546335789,0.4475040941347728,0.45060468819987065,0.0086846007201864,0.0016630529359053829,0.008927854588626268,0.007418337250449144,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 11:30:00,21,0.18486029889538663,0.11850666295535994,0.12280701754385963,0.13412816691505217,0.19164404808065144,0.44986959422575357,0.4525456626685911,0.01292099131539928,0.0016630529359053846,0.008840328880234843,0.007328961228083826,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 11:40:00,21,0.17348927875243667,0.11416443408371316,0.22478070175438591,0.18628912071535023,0.15839472663823187,0.4596348638321101,0.46035932911959393,0.031772929464096586,0.0013129367549809634,0.007002274478898235,0.005809560863850658,479.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 11:50:00,21,0.22124756335282653,0.2264743745868272,0.1557017543859649,0.17492548435171387,0.30661108956960065,0.44823194031661306,0.45125167968944413,0.010061427663630586,0.0017505819511407375,0.00892785458862627,0.007328961228083827,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 12:00:00,21,0.23034437946718653,0.22549319787063776,0.11293859649122807,0.16989567809239942,0.31737107405971304,0.4478680172256929,0.4509530682327179,0.009425969074348655,0.0017505819511407352,0.008927854588626268,0.007328961228083826,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 12:10:00,21,0.1994801819363223,0.14784454263943494,0.12061403508771928,0.15741430700447095,0.2265412950756107,0.44871717110450654,0.4516000597222914,0.01080279601779284,0.0016630529359053835,0.008927854588626268,0.007418337250449145,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 12:20:00,21,0.25081221572449647,0.322340906718625,0.2149122807017544,0.20510432190760058,0.37989530825901513,0.44968763268029355,0.452396356940228,0.012497352255877992,0.0016630529359053844,0.008927854588626268,0.007418337250449145,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 12:30:00,21,0.2634827810266407,0.3199471138791274,0.15131578947368418,0.18386736214605068,0.3964715005816208,0.4479893249226663,0.45105260538495995,0.009637788604109299,0.0017505819511407362,0.008927854588626268,0.007328961228083825,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 12:40:00,21,0.2794022092267707,0.21885807731115828,0.19188596491228072,0.21907600596125185,0.24573478092283832,0.7587796445684478,0.7063156323097597,0.5680999788180471,0.0021882268140144536,0.003676215732966202,0.00598831457617418,268.0,262.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 12:50:00,21,0.22352176738141655,0.0028774224974774717,0.1381578947368421,0.169150521609538,0.020841411399767352,0.8833019955116151,0.8081421390534018,0.7958059733107392,0.0015755239080052893,0.012778908990041476,0.014657547169600627,0.0,470.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 13:00:00,21,0.2722547108512021,0.2915347413103232,0.18311403508771928,0.23099850968703428,0.33918185343156265,0.5176805968338691,0.5080873936196686,0.13397585257360728,0.0014879948681066379,0.006477111489207127,0.005094544299314754,425.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 13:10:00,21,0.29467186484730346,0.4860373682196166,0.18421052631578944,0.2302533532041729,0.5337340054284606,0.4515679019833808,0.45383964564773804,0.01567464520228765,0.0014879948681066329,0.008840328880234843,0.007507713216320594,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 13:20:00,21,0.262508122157245,0.3461013882606729,0.1765350877192982,0.227645305514158,0.4209965102753005,0.4478680172256929,0.45070422535211274,0.009320059309468331,0.001312936754980966,0.008577751353789024,0.007418337250449145,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 13:30:00,21,0.2923976608187135,0.48449253679412685,0.2050438596491228,0.25633383010432187,0.5328615742535867,0.4518105173773276,0.4540387199522222,0.016416013556449904,0.0014879948681066342,0.008577751353789026,0.007239585149905276,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 13:40:00,21,0.322287199480182,0.6295709961379214,0.1600877192982456,0.2514903129657228,0.6442419542458317,0.4555104021350154,0.4572736774000896,0.02319423850879051,0.0018381109530446443,0.008665277262149673,0.0069714565872966185,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 13:50:00,21,0.3502274204028591,0.7067464597613166,0.26754385964912275,0.3004843517138599,0.7283830942225669,0.4646691332565051,0.4647389638182452,0.03865706418131752,0.0017505819511407302,0.009015380229028187,0.007418337250449145,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 14:00:00,21,0.27777777777777785,0.43824501583104275,0.14144736842105265,0.2024962742175857,0.4989336952307096,0.44865651725601985,0.4515005225700493,0.01080279601779284,0.0015755239080051588,0.008752803104520458,0.007328961228083826,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 14:10:00,21,0.2878492527615335,0.45546779861521863,0.1589912280701754,0.26583457526080473,0.5121170996510275,0.45011220961970033,0.4527447369730752,0.013132810845159923,0.0016630529359053826,0.009015380229028196,0.007507713216320596,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 14:20:00,21,0.28362573099415206,0.4494276469155562,0.12171052631578945,0.2002608047690015,0.5075610701822412,0.44865651725601985,0.4515005225700493,0.010485066723151873,0.0015755239080051588,0.009015380229028194,0.007597089125017538,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 14:30:00,21,0.30636777128005205,0.586058244319961,0.18969298245614036,0.25614754098360654,0.6132221791392012,0.45514647904409533,0.45692529736724236,0.02213514085998729,0.0017505819511407378,0.008927854588626268,0.007328961228083825,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 14:40:00,21,0.3641975308641976,0.7976236039107895,0.19407894736842107,0.26695230998509684,0.7974020938348196,0.46715594104445923,0.4667794754392077,0.04321118407117136,0.0017505819511407369,0.00884032888023484,0.007239585149905273,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
